gene_id	term_id	DB
ENSG00000211809	GO:0050830	GO
ENSG00000211809	GO:0009617	GO
ENSG00000211809	GO:0006955	GO
ENSG00000239642	GO:0045143	GO
ENSG00000239642	GO:0051754	GO
ENSG00000239642	GO:0010789	GO
ENSG00000239642	GO:0007060	GO
ENSG00000239642	GO:0016321	GO
ENSG00000205702	GO:0042178	GO
ENSG00000205702	path:hsa00980	KEGG
ENSG00000205702	GO:0019369	GO
ENSG00000205702	path:hsa00982	KEGG
ENSG00000205702	path:hsa04726	KEGG
ENSG00000205702	path:hsa01522	KEGG
ENSG00000205702	GO:0006805	GO
ENSG00000225973	GO:1900101	GO
ENSG00000284690	GO:0030593	GO
ENSG00000284690	GO:0045088	GO
ENSG00000284690	GO:0007165	GO
ENSG00000204272	GO:0000956	GO
ENSG00000204272	GO:0010607	GO
ENSG00000250366	GO:0045665	GO
ENSG00000250366	GO:0035774	GO
ENSG00000250366	GO:0051480	GO
ENSG00000250366	GO:0048812	GO
ENSG00000250366	GO:0032469	GO
ENSG00000262179	GO:0007520	GO
ENSG00000262179	GO:0045026	GO
ENSG00000262179	GO:0060538	GO
ENSG00000262179	GO:0043403	GO
ENSG00000262179	GO:0014905	GO
ENSG00000283654	GO:0061966	GO
ENSG00000235387	GO:1904262	GO
ENSG00000235387	GO:0071230	GO
ENSG00000235387	GO:0043416	GO
ENSG00000284395	GO:0035883	GO
ENSG00000284395	GO:0048546	GO
ENSG00000284638	GO:0008150	GO
ENSG00000163694	GO:0060340	GO
ENSG00000163694	GO:0016554	GO
ENSG00000163694	GO:0070935	GO
ENSG00000163694	GO:0000381	GO
ENSG00000105948	GO:0007224	GO
ENSG00000105948	GO:0035082	GO
ENSG00000105948	R-HSA-1852241	Reactome
ENSG00000105948	GO:0035735	GO
ENSG00000105948	GO:0060271	GO
ENSG00000105948	GO:0061512	GO
ENSG00000105948	GO:0035720	GO
ENSG00000105948	GO:0042073	GO
ENSG00000105948	R-HSA-5620924	Reactome
ENSG00000105948	R-HSA-5617833	Reactome
ENSG00000168936	GO:0030970	GO
ENSG00000168936	GO:0036503	GO
ENSG00000168936	GO:0016567	GO
ENSG00000168936	R-HSA-597592	Reactome
ENSG00000168936	R-HSA-8852135	Reactome
ENSG00000168936	R-HSA-392499	Reactome
ENSG00000168936	GO:0006511	GO
ENSG00000168936	GO:0000209	GO
ENSG00000168936	R-HSA-8866654	Reactome
ENSG00000129173	GO:0060707	GO
ENSG00000129173	GO:0002040	GO
ENSG00000129173	GO:0033301	GO
ENSG00000129173	GO:0000122	GO
ENSG00000129173	R-HSA-74160	Reactome
ENSG00000129173	GO:0006357	GO
ENSG00000129173	R-HSA-6804116	Reactome
ENSG00000129173	GO:0032877	GO
ENSG00000129173	R-HSA-3700989	Reactome
ENSG00000129173	R-HSA-73857	Reactome
ENSG00000129173	GO:0070365	GO
ENSG00000129173	R-HSA-6791312	Reactome
ENSG00000129173	GO:0032466	GO
ENSG00000129173	GO:0001890	GO
ENSG00000129173	R-HSA-212436	Reactome
ENSG00000129173	GO:0045944	GO
ENSG00000129173	GO:0060718	GO
ENSG00000033178	R-HSA-1280218	Reactome
ENSG00000033178	GO:0006974	GO
ENSG00000033178	R-HSA-168256	Reactome
ENSG00000033178	R-HSA-8866652	Reactome
ENSG00000033178	GO:0016567	GO
ENSG00000033178	R-HSA-597592	Reactome
ENSG00000033178	R-HSA-8852135	Reactome
ENSG00000033178	R-HSA-392499	Reactome
ENSG00000033178	GO:0006511	GO
ENSG00000033178	R-HSA-983168	Reactome
ENSG00000033178	R-HSA-983169	Reactome
ENSG00000033178	path:hsa04120	KEGG
ENSG00000156603	GO:0051123	GO
ENSG00000156603	GO:0032968	GO
ENSG00000156603	R-HSA-1430728	Reactome
ENSG00000156603	R-HSA-1989781	Reactome
ENSG00000156603	R-HSA-556833	Reactome
ENSG00000156603	R-HSA-1266738	Reactome
ENSG00000156603	R-HSA-381340	Reactome
ENSG00000156603	R-HSA-400206	Reactome
ENSG00000156603	GO:0060261	GO
ENSG00000156603	GO:0045944	GO
ENSG00000111647	R-HSA-9696270	Reactome
ENSG00000111647	GO:0120009	GO
ENSG00000111647	R-HSA-9012999	Reactome
ENSG00000111647	R-HSA-162582	Reactome
ENSG00000111647	R-HSA-194315	Reactome
ENSG00000111647	GO:0034498	GO
ENSG00000111647	R-HSA-9716542	Reactome
ENSG00000187164	GO:0038007	GO
ENSG00000187164	GO:2000114	GO
ENSG00000187164	GO:0061163	GO
ENSG00000187164	GO:0032488	GO
ENSG00000187164	GO:2001224	GO
ENSG00000187164	GO:0007409	GO
ENSG00000187164	GO:0048812	GO
ENSG00000187164	GO:0006930	GO
ENSG00000187164	GO:0060327	GO
ENSG00000187164	GO:0061573	GO
ENSG00000187164	GO:0045773	GO
ENSG00000187164	GO:0007265	GO
ENSG00000154025	GO:0008645	GO
ENSG00000154025	R-HSA-189200	Reactome
ENSG00000154025	R-HSA-425407	Reactome
ENSG00000154025	R-HSA-382551	Reactome
ENSG00000168569	GO:0033617	GO
ENSG00000163331	GO:0097190	GO
ENSG00000163331	GO:0141014	GO
ENSG00000163331	GO:2001186	GO
ENSG00000163331	GO:0010507	GO
ENSG00000172986	GO:0016266	GO
ENSG00000172986	path:hsa00514	KEGG
ENSG00000188735	GO:0051291	GO
ENSG00000188735	GO:0045444	GO
ENSG00000249581	GO:0007605	GO
ENSG00000249581	GO:0060088	GO
ENSG00000249581	GO:0120045	GO
ENSG00000071205	GO:0043066	GO
ENSG00000071205	GO:0007010	GO
ENSG00000071205	R-HSA-8980692	Reactome
ENSG00000071205	R-HSA-9013148	Reactome
ENSG00000071205	path:hsa05100	KEGG
ENSG00000071205	R-HSA-162582	Reactome
ENSG00000071205	R-HSA-9012999	Reactome
ENSG00000071205	R-HSA-194315	Reactome
ENSG00000071205	GO:0051056	GO
ENSG00000071205	R-HSA-9013149	Reactome
ENSG00000071205	R-HSA-9716542	Reactome
ENSG00000237693	GO:0050728	GO
ENSG00000237693	GO:0071211	GO
ENSG00000237693	GO:0010800	GO
ENSG00000237693	path:hsa05145	KEGG
ENSG00000237693	GO:0061635	GO
ENSG00000237693	GO:0098586	GO
ENSG00000237693	GO:0033138	GO
ENSG00000237693	GO:0043032	GO
ENSG00000237693	GO:0050687	GO
ENSG00000237693	GO:0045087	GO
ENSG00000237693	GO:0061762	GO
ENSG00000237693	GO:0160049	GO
ENSG00000237693	GO:1905673	GO
ENSG00000237693	GO:0090141	GO
ENSG00000237693	GO:1904417	GO
ENSG00000237693	GO:0010508	GO
ENSG00000237693	GO:0050829	GO
ENSG00000237693	GO:0097352	GO
ENSG00000237693	GO:1901526	GO
ENSG00000237693	GO:0043124	GO
ENSG00000237693	GO:0035458	GO
ENSG00000237693	GO:0042742	GO
ENSG00000237693	GO:0032480	GO
ENSG00000237693	GO:1901098	GO
ENSG00000237693	GO:1900226	GO
ENSG00000237693	GO:0031648	GO
ENSG00000237693	GO:0071222	GO
ENSG00000237693	GO:0043254	GO
ENSG00000237693	GO:0001934	GO
ENSG00000237693	GO:0065003	GO
ENSG00000237693	GO:0061739	GO
ENSG00000237693	GO:0060335	GO
ENSG00000237693	GO:0071902	GO
ENSG00000237693	GO:0050821	GO
ENSG00000237693	GO:0070431	GO
ENSG00000237693	GO:0000045	GO
ENSG00000237693	GO:0032689	GO
ENSG00000164334	GO:0006366	GO
ENSG00000164334	GO:0045893	GO
ENSG00000164334	GO:0009566	GO
ENSG00000185101	R-HSA-983712	Reactome
ENSG00000185101	R-HSA-382551	Reactome
ENSG00000185101	GO:0034220	GO
ENSG00000185101	GO:1902476	GO
ENSG00000185101	R-HSA-2672351	Reactome
ENSG00000109205	GO:0001934	GO
ENSG00000109205	GO:0043547	GO
ENSG00000109205	GO:0060054	GO
ENSG00000109205	GO:0042475	GO
ENSG00000109205	GO:0032956	GO
ENSG00000109205	GO:0006954	GO
ENSG00000109205	R-HSA-977225	Reactome
ENSG00000109205	R-HSA-392499	Reactome
ENSG00000109205	GO:0010628	GO
ENSG00000147485	GO:0042744	GO
ENSG00000105135	GO:0001561	GO
ENSG00000224877	GO:0032981	GO
ENSG00000224877	path:hsa04714	KEGG
ENSG00000217442	GO:0007131	GO
ENSG00000217442	GO:0007283	GO
ENSG00000217442	GO:0007130	GO
ENSG00000216588	GO:0030316	GO
ENSG00000126822	R-HSA-9013406	Reactome
ENSG00000126822	GO:2000114	GO
ENSG00000126822	R-HSA-8980692	Reactome
ENSG00000126822	R-HSA-9013148	Reactome
ENSG00000126822	R-HSA-9012999	Reactome
ENSG00000126822	R-HSA-162582	Reactome
ENSG00000126822	R-HSA-9013408	Reactome
ENSG00000126822	R-HSA-194315	Reactome
ENSG00000126822	GO:0051056	GO
ENSG00000126822	R-HSA-9013149	Reactome
ENSG00000126822	GO:0030334	GO
ENSG00000126822	R-HSA-9716542	Reactome
ENSG00000164181	path:hsa00062	KEGG
ENSG00000164181	path:hsa01040	KEGG
ENSG00000164181	R-HSA-8978868	Reactome
ENSG00000164181	R-HSA-1430728	Reactome
ENSG00000164181	GO:0034626	GO
ENSG00000164181	R-HSA-556833	Reactome
ENSG00000164181	GO:0019367	GO
ENSG00000164181	GO:0042761	GO
ENSG00000164181	R-HSA-75105	Reactome
ENSG00000164181	R-HSA-75876	Reactome
ENSG00000164181	GO:0035338	GO
ENSG00000164181	path:hsa01212	KEGG
ENSG00000164181	GO:0034625	GO
ENSG00000164181	path:hsa01100	KEGG
ENSG00000164181	GO:0030148	GO
ENSG00000179954	GO:0006952	GO
ENSG00000179954	GO:0042494	GO
ENSG00000179954	GO:0032717	GO
ENSG00000174705	GO:0072657	GO
ENSG00000174705	GO:0006801	GO
ENSG00000174705	GO:0007507	GO
ENSG00000174705	GO:0001654	GO
ENSG00000174705	GO:0001501	GO
ENSG00000174705	GO:0042554	GO
ENSG00000174705	GO:0060348	GO
ENSG00000174705	GO:0022617	GO
ENSG00000174705	GO:0071800	GO
ENSG00000174705	GO:0060612	GO
ENSG00000188343	GO:0061024	GO
ENSG00000188343	GO:0007007	GO
ENSG00000188343	GO:0060271	GO
ENSG00000188343	GO:0097749	GO
ENSG00000188343	GO:0045880	GO
ENSG00000188343	GO:0035108	GO
ENSG00000188343	GO:0007283	GO
ENSG00000184828	GO:0008285	GO
ENSG00000184828	GO:0006357	GO
ENSG00000172264	GO:0006974	GO
ENSG00000172264	GO:0051725	GO
ENSG00000172264	GO:0042278	GO
ENSG00000172264	GO:0140291	GO
ENSG00000178199	GO:2000134	GO
ENSG00000178199	GO:0030308	GO
ENSG00000178199	GO:0061158	GO
ENSG00000162004	GO:0098535	GO
ENSG00000162004	GO:0003009	GO
ENSG00000151779	R-HSA-8856688	Reactome
ENSG00000151779	GO:0000956	GO
ENSG00000151779	R-HSA-6811434	Reactome
ENSG00000151779	R-HSA-6811442	Reactome
ENSG00000151779	GO:2000623	GO
ENSG00000151779	GO:0006890	GO
ENSG00000151779	R-HSA-5653656	Reactome
ENSG00000151779	R-HSA-199991	Reactome
ENSG00000185418	path:hsa00970	KEGG
ENSG00000185418	GO:0006435	GO
ENSG00000135426	GO:0050862	GO
ENSG00000135426	GO:0033089	GO
ENSG00000135426	GO:0010387	GO
ENSG00000188266	path:hsa00310	KEGG
ENSG00000188266	R-HSA-1430728	Reactome
ENSG00000188266	R-HSA-71064	Reactome
ENSG00000188266	R-HSA-71291	Reactome
ENSG00000188266	GO:0006554	GO
ENSG00000188266	path:hsa01100	KEGG
ENSG00000180336	GO:0048255	GO
ENSG00000180336	GO:0007141	GO
ENSG00000180336	GO:0070192	GO
ENSG00000180336	GO:0048599	GO
ENSG00000180336	GO:0007144	GO
ENSG00000180336	GO:0007286	GO
ENSG00000180336	GO:0051729	GO
ENSG00000180376	GO:0090307	GO
ENSG00000180376	GO:0001578	GO
ENSG00000180376	GO:0007020	GO
ENSG00000180376	GO:0000132	GO
ENSG00000180376	GO:0060271	GO
ENSG00000180376	GO:0001895	GO
ENSG00000180376	GO:0007052	GO
ENSG00000180376	GO:0032465	GO
ENSG00000180376	GO:1905349	GO
ENSG00000180376	GO:0007080	GO
ENSG00000180376	GO:1903564	GO
ENSG00000180376	GO:1902850	GO
ENSG00000162971	R-HSA-8953854	Reactome
ENSG00000162971	GO:0031591	GO
ENSG00000162971	R-HSA-72306	Reactome
ENSG00000162971	R-HSA-6782315	Reactome
ENSG00000162971	R-HSA-6782861	Reactome
ENSG00000221986	GO:0008150	GO
ENSG00000105339	R-HSA-8876198	Reactome
ENSG00000105339	R-HSA-5653656	Reactome
ENSG00000105339	GO:0032483	GO
ENSG00000105339	R-HSA-9007101	Reactome
ENSG00000105339	GO:0008333	GO
ENSG00000105339	R-HSA-199991	Reactome
ENSG00000105339	GO:0030163	GO
ENSG00000148803	R-HSA-446193	Reactome
ENSG00000148803	R-HSA-597592	Reactome
ENSG00000148803	R-HSA-6787639	Reactome
ENSG00000148803	R-HSA-392499	Reactome
ENSG00000148803	GO:0006004	GO
ENSG00000148803	R-HSA-446203	Reactome
ENSG00000148803	GO:0036065	GO
ENSG00000148803	R-HSA-446219	Reactome
ENSG00000121210	GO:0090090	GO
ENSG00000121210	GO:0033088	GO
ENSG00000139697	GO:0043124	GO
ENSG00000139697	GO:0043409	GO
ENSG00000139697	GO:2000179	GO
ENSG00000139697	GO:0150079	GO
ENSG00000139697	GO:0090263	GO
ENSG00000139697	GO:0006355	GO
ENSG00000214194	GO:0060339	GO
ENSG00000214960	GO:0035269	GO
ENSG00000214960	path:hsa00515	KEGG
ENSG00000214960	path:hsa01100	KEGG
ENSG00000214960	path:hsa00040	KEGG
ENSG00000186088	GO:0030162	GO
ENSG00000186088	GO:1902004	GO
ENSG00000105875	GO:0042176	GO
ENSG00000105875	R-HSA-9013148	Reactome
ENSG00000105875	R-HSA-9012999	Reactome
ENSG00000105875	R-HSA-162582	Reactome
ENSG00000105875	GO:0006511	GO
ENSG00000105875	R-HSA-194315	Reactome
ENSG00000105875	GO:0045022	GO
ENSG00000105875	R-HSA-9716542	Reactome
ENSG00000165076	GO:0051604	GO
ENSG00000165076	GO:0007339	GO
ENSG00000165076	GO:0070613	GO
ENSG00000165076	GO:1905516	GO
ENSG00000165076	GO:2000344	GO
ENSG00000165076	GO:0016477	GO
ENSG00000164500	GO:0007283	GO
ENSG00000214309	GO:0031124	GO
ENSG00000214309	GO:0008334	GO
ENSG00000214309	GO:1900087	GO
ENSG00000197774	GO:0071140	GO
ENSG00000197774	GO:0000712	GO
ENSG00000197774	R-HSA-5693567	Reactome
ENSG00000197774	GO:0031573	GO
ENSG00000197774	R-HSA-5685942	Reactome
ENSG00000197774	R-HSA-5693538	Reactome
ENSG00000197774	GO:0031297	GO
ENSG00000197774	R-HSA-6783310	Reactome
ENSG00000197774	path:hsa03460	KEGG
ENSG00000197774	R-HSA-73894	Reactome
ENSG00000197774	GO:0000723	GO
ENSG00000197774	GO:0006302	GO
ENSG00000197774	R-HSA-5693537	Reactome
ENSG00000197774	R-HSA-5693568	Reactome
ENSG00000197774	R-HSA-5693532	Reactome
ENSG00000215217	GO:0030317	GO
ENSG00000163092	GO:0007015	GO
ENSG00000163092	GO:0110053	GO
ENSG00000285321	GO:0019915	GO
ENSG00000285321	GO:0045444	GO
ENSG00000285321	R-HSA-1430728	Reactome
ENSG00000285321	R-HSA-556833	Reactome
ENSG00000285321	R-HSA-8964572	Reactome
ENSG00000285321	GO:0008654	GO
ENSG00000285321	GO:0034389	GO
ENSG00000285321	GO:0140042	GO
ENSG00000139914	GO:0019915	GO
ENSG00000139914	GO:0045444	GO
ENSG00000139914	R-HSA-1430728	Reactome
ENSG00000139914	R-HSA-556833	Reactome
ENSG00000139914	R-HSA-8964572	Reactome
ENSG00000139914	GO:0008654	GO
ENSG00000139914	GO:0034389	GO
ENSG00000139914	GO:0140042	GO
ENSG00000167987	GO:0043328	GO
ENSG00000167987	GO:0006612	GO
ENSG00000167987	R-HSA-9610379	Reactome
ENSG00000167987	R-HSA-5653656	Reactome
ENSG00000167987	GO:0006623	GO
ENSG00000167987	R-HSA-174495	Reactome
ENSG00000167987	R-HSA-162587	Reactome
ENSG00000167987	path:hsa04144	KEGG
ENSG00000167987	R-HSA-9609646	Reactome
ENSG00000167987	R-HSA-199991	Reactome
ENSG00000167987	GO:0016236	GO
ENSG00000167987	R-HSA-174490	Reactome
ENSG00000167987	R-HSA-162599	Reactome
ENSG00000167987	GO:0036258	GO
ENSG00000167987	GO:0043162	GO
ENSG00000167987	R-HSA-162588	Reactome
ENSG00000167987	R-HSA-1643685	Reactome
ENSG00000167987	R-HSA-175474	Reactome
ENSG00000167987	R-HSA-917729	Reactome
ENSG00000167987	R-HSA-162906	Reactome
ENSG00000167987	GO:0039702	GO
ENSG00000167987	GO:0090148	GO
ENSG00000167987	R-HSA-5663205	Reactome
ENSG00000198003	GO:1902017	GO
ENSG00000198003	GO:0003341	GO
ENSG00000198003	GO:0007368	GO
ENSG00000198003	GO:0036158	GO
ENSG00000105792	GO:0030317	GO
ENSG00000105792	GO:1902093	GO
ENSG00000105792	GO:0042048	GO
ENSG00000105792	GO:1905516	GO
ENSG00000105792	GO:1990834	GO
ENSG00000105792	GO:0007288	GO
ENSG00000222028	R-HSA-450408	Reactome
ENSG00000222028	R-HSA-174154	Reactome
ENSG00000222028	R-HSA-174113	Reactome
ENSG00000222028	R-HSA-983168	Reactome
ENSG00000222028	R-HSA-983169	Reactome
ENSG00000222028	R-HSA-5676590	Reactome
ENSG00000222028	R-HSA-9707564	Reactome
ENSG00000222028	R-HSA-2871837	Reactome
ENSG00000222028	R-HSA-382556	Reactome
ENSG00000222028	R-HSA-1640170	Reactome
ENSG00000222028	R-HSA-162582	Reactome
ENSG00000222028	R-HSA-69481	Reactome
ENSG00000222028	R-HSA-983705	Reactome
ENSG00000222028	R-HSA-5689880	Reactome
ENSG00000222028	GO:0006508	GO
ENSG00000222028	R-HSA-597592	Reactome
ENSG00000222028	R-HSA-179419	Reactome
ENSG00000222028	R-HSA-5619115	Reactome
ENSG00000222028	R-HSA-8948751	Reactome
ENSG00000222028	R-HSA-69242	Reactome
ENSG00000222028	R-HSA-5610787	Reactome
ENSG00000222028	R-HSA-69541	Reactome
ENSG00000222028	R-HSA-5621481	Reactome
ENSG00000222028	R-HSA-68882	Reactome
ENSG00000222028	R-HSA-5684996	Reactome
ENSG00000222028	R-HSA-5387390	Reactome
ENSG00000222028	R-HSA-1257604	Reactome
ENSG00000222028	R-HSA-4086400	Reactome
ENSG00000222028	R-HSA-4608870	Reactome
ENSG00000222028	R-HSA-69563	Reactome
ENSG00000222028	R-HSA-8951664	Reactome
ENSG00000222028	R-HSA-201681	Reactome
ENSG00000222028	R-HSA-4641258	Reactome
ENSG00000222028	R-HSA-202424	Reactome
ENSG00000222028	R-HSA-162909	Reactome
ENSG00000222028	R-HSA-453276	Reactome
ENSG00000222028	R-HSA-174178	Reactome
ENSG00000222028	R-HSA-382551	Reactome
ENSG00000222028	R-HSA-5610785	Reactome
ENSG00000222028	R-HSA-212436	Reactome
ENSG00000222028	R-HSA-8878171	Reactome
ENSG00000222028	R-HSA-5673001	Reactome
ENSG00000222028	R-HSA-195253	Reactome
ENSG00000222028	R-HSA-1280218	Reactome
ENSG00000222028	R-HSA-5607764	Reactome
ENSG00000222028	R-HSA-5610780	Reactome
ENSG00000222028	R-HSA-8953854	Reactome
ENSG00000222028	R-HSA-5688426	Reactome
ENSG00000222028	R-HSA-69052	Reactome
ENSG00000222028	R-HSA-5358351	Reactome
ENSG00000222028	R-HSA-71291	Reactome
ENSG00000222028	R-HSA-9711123	Reactome
ENSG00000222028	R-HSA-351202	Reactome
ENSG00000222028	R-HSA-9006925	Reactome
ENSG00000222028	R-HSA-453274	Reactome
ENSG00000222028	R-HSA-69580	Reactome
ENSG00000222028	R-HSA-1236975	Reactome
ENSG00000222028	R-HSA-2262752	Reactome
ENSG00000222028	R-HSA-1169091	Reactome
ENSG00000222028	R-HSA-5683057	Reactome
ENSG00000222028	R-HSA-176409	Reactome
ENSG00000222028	R-HSA-449147	Reactome
ENSG00000222028	R-HSA-3858494	Reactome
ENSG00000222028	R-HSA-349425	Reactome
ENSG00000222028	path:hsa03050	KEGG
ENSG00000222028	R-HSA-5689603	Reactome
ENSG00000222028	R-HSA-176814	Reactome
ENSG00000222028	R-HSA-6807070	Reactome
ENSG00000222028	R-HSA-174143	Reactome
ENSG00000222028	R-HSA-69613	Reactome
ENSG00000222028	R-HSA-69610	Reactome
ENSG00000222028	R-HSA-5362768	Reactome
ENSG00000222028	R-HSA-168256	Reactome
ENSG00000222028	R-HSA-5619084	Reactome
ENSG00000222028	R-HSA-75815	Reactome
ENSG00000222028	R-HSA-2555396	Reactome
ENSG00000222028	R-HSA-8852276	Reactome
ENSG00000222028	R-HSA-180585	Reactome
ENSG00000222028	R-HSA-1234174	Reactome
ENSG00000222028	R-HSA-5663202	Reactome
ENSG00000222028	R-HSA-1280215	Reactome
ENSG00000222028	R-HSA-174184	Reactome
ENSG00000222028	R-HSA-350562	Reactome
ENSG00000222028	R-HSA-1643685	Reactome
ENSG00000222028	R-HSA-68886	Reactome
ENSG00000222028	R-HSA-73857	Reactome
ENSG00000222028	R-HSA-5687128	Reactome
ENSG00000222028	R-HSA-1236978	Reactome
ENSG00000222028	R-HSA-8932339	Reactome
ENSG00000222028	R-HSA-8939236	Reactome
ENSG00000222028	R-HSA-446652	Reactome
ENSG00000222028	R-HSA-168249	Reactome
ENSG00000222028	R-HSA-8854050	Reactome
ENSG00000222028	R-HSA-69601	Reactome
ENSG00000222028	R-HSA-69620	Reactome
ENSG00000222028	R-HSA-1168372	Reactome
ENSG00000222028	R-HSA-195721	Reactome
ENSG00000222028	R-HSA-180534	Reactome
ENSG00000222028	R-HSA-2454202	Reactome
ENSG00000222028	R-HSA-450531	Reactome
ENSG00000222028	R-HSA-8953897	Reactome
ENSG00000222028	R-HSA-4641257	Reactome
ENSG00000222028	R-HSA-69615	Reactome
ENSG00000222028	R-HSA-69017	Reactome
ENSG00000222028	R-HSA-5658442	Reactome
ENSG00000222028	R-HSA-1430728	Reactome
ENSG00000222028	R-HSA-5678895	Reactome
ENSG00000222028	R-HSA-1234176	Reactome
ENSG00000222028	R-HSA-68949	Reactome
ENSG00000222028	R-HSA-5607761	Reactome
ENSG00000222028	R-HSA-9020702	Reactome
ENSG00000222028	R-HSA-5632684	Reactome
ENSG00000222028	R-HSA-69275	Reactome
ENSG00000222028	R-HSA-69306	Reactome
ENSG00000222028	R-HSA-5358346	Reactome
ENSG00000222028	R-HSA-9707587	Reactome
ENSG00000222028	R-HSA-176408	Reactome
ENSG00000222028	R-HSA-392499	Reactome
ENSG00000222028	GO:0043161	GO
ENSG00000222028	R-HSA-2467813	Reactome
ENSG00000222028	R-HSA-5668541	Reactome
ENSG00000222028	R-HSA-69278	Reactome
ENSG00000222028	R-HSA-162906	Reactome
ENSG00000222028	R-HSA-69239	Reactome
ENSG00000222028	R-HSA-202403	Reactome
ENSG00000222028	R-HSA-74160	Reactome
ENSG00000222028	R-HSA-5663205	Reactome
ENSG00000059915	GO:0007165	GO
ENSG00000059915	path:hsa04144	KEGG
ENSG00000133619	GO:0008150	GO
ENSG00000133619	R-HSA-74160	Reactome
ENSG00000133619	R-HSA-73857	Reactome
ENSG00000133619	R-HSA-212436	Reactome
ENSG00000240849	path:hsa01100	KEGG
ENSG00000240849	path:hsa00565	KEGG
ENSG00000240849	GO:0008611	GO
ENSG00000113597	GO:0006888	GO
ENSG00000113597	GO:0099022	GO
ENSG00000113597	GO:0006901	GO
ENSG00000113597	R-HSA-5653656	Reactome
ENSG00000113597	R-HSA-9007101	Reactome
ENSG00000113597	R-HSA-8876198	Reactome
ENSG00000113597	R-HSA-199991	Reactome
ENSG00000186038	path:hsa04742	KEGG
ENSG00000186038	R-HSA-112314	Reactome
ENSG00000186038	GO:0007210	GO
ENSG00000186038	GO:0042391	GO
ENSG00000186038	GO:0098662	GO
ENSG00000186038	GO:0007268	GO
ENSG00000186038	R-HSA-112316	Reactome
ENSG00000186038	GO:0034220	GO
ENSG00000186038	path:hsa04726	KEGG
ENSG00000186038	GO:0140227	GO
ENSG00000186038	R-HSA-112315	Reactome
ENSG00000125107	GO:0035195	GO
ENSG00000125107	R-HSA-212436	Reactome
ENSG00000125107	path:hsa03018	KEGG
ENSG00000125107	GO:0017148	GO
ENSG00000125107	GO:2000036	GO
ENSG00000125107	GO:0000289	GO
ENSG00000125107	R-HSA-8953854	Reactome
ENSG00000125107	R-HSA-429947	Reactome
ENSG00000125107	GO:1900153	GO
ENSG00000125107	R-HSA-429914	Reactome
ENSG00000125107	R-HSA-3700989	Reactome
ENSG00000125107	GO:0033147	GO
ENSG00000125107	GO:0060213	GO
ENSG00000125107	GO:0048387	GO
ENSG00000125107	R-HSA-73857	Reactome
ENSG00000125107	GO:0061014	GO
ENSG00000125107	GO:0010606	GO
ENSG00000125107	GO:0000122	GO
ENSG00000125107	R-HSA-6804115	Reactome
ENSG00000125107	R-HSA-74160	Reactome
ENSG00000125107	R-HSA-6791312	Reactome
ENSG00000125107	GO:0000288	GO
ENSG00000172508	R-HSA-70921	Reactome
ENSG00000172508	path:hsa00410	KEGG
ENSG00000172508	path:hsa00340	KEGG
ENSG00000172508	R-HSA-1430728	Reactome
ENSG00000172508	path:hsa00330	KEGG
ENSG00000172508	GO:0035499	GO
ENSG00000172508	R-HSA-71291	Reactome
ENSG00000172508	GO:0006548	GO
ENSG00000172508	path:hsa01100	KEGG
ENSG00000157890	GO:0034109	GO
ENSG00000157890	GO:0010842	GO
ENSG00000168071	GO:0001819	GO
ENSG00000168071	GO:0050870	GO
ENSG00000168071	GO:0042102	GO
ENSG00000168071	GO:0031122	GO
ENSG00000168071	GO:0030705	GO
ENSG00000180053	GO:0043066	GO
ENSG00000180053	GO:0021854	GO
ENSG00000180053	GO:0043586	GO
ENSG00000180053	GO:0055014	GO
ENSG00000180053	GO:0060039	GO
ENSG00000180053	GO:0008284	GO
ENSG00000180053	GO:0048565	GO
ENSG00000180053	GO:0030154	GO
ENSG00000180053	GO:0035050	GO
ENSG00000180053	GO:0055015	GO
ENSG00000180053	GO:0060037	GO
ENSG00000180053	GO:0006357	GO
ENSG00000180053	GO:0045944	GO
ENSG00000183560	GO:0007342	GO
ENSG00000183560	R-HSA-163125	Reactome
ENSG00000183560	GO:0007338	GO
ENSG00000183560	R-HSA-597592	Reactome
ENSG00000183560	GO:0035036	GO
ENSG00000183560	R-HSA-392499	Reactome
ENSG00000183560	GO:0007155	GO
ENSG00000188522	GO:0030509	GO
ENSG00000187867	GO:0001960	GO
ENSG00000187867	GO:0008063	GO
ENSG00000187867	GO:0032496	GO
ENSG00000288318	GO:0001960	GO
ENSG00000288318	GO:0008063	GO
ENSG00000288318	GO:0032496	GO
ENSG00000242875	GO:0048026	GO
ENSG00000242875	GO:0008584	GO
ENSG00000242875	GO:0007283	GO
ENSG00000184207	GO:0006650	GO
ENSG00000184207	GO:0006114	GO
ENSG00000184207	path:hsa00630	KEGG
ENSG00000184207	path:hsa01100	KEGG
ENSG00000184207	GO:0045721	GO
ENSG00000184207	path:hsa01200	KEGG
ENSG00000205765	GO:0000423	GO
ENSG00000137103	GO:0007346	GO
ENSG00000137103	GO:0007160	GO
ENSG00000204347	GO:0009615	GO
ENSG00000204347	GO:0045071	GO
ENSG00000205784	GO:0007283	GO
ENSG00000205784	GO:0015031	GO
ENSG00000166329	GO:0008585	GO
ENSG00000185290	GO:0006974	GO
ENSG00000185290	GO:0000122	GO
ENSG00000185290	GO:0045786	GO
ENSG00000185290	GO:0009267	GO
ENSG00000185290	GO:0008285	GO
ENSG00000185290	GO:0006357	GO
